agency,fiscal_year,date,fy_day,cumulative_count,cumulative_dollars,source_type,is_provisional
NIH,2016,2015-11-01,32,0,70708588.0,usaspending,False
NIH,2016,2015-12-01,62,0,894180209.0,usaspending,False
NIH,2016,2016-01-01,93,0,1716545849.0,usaspending,False
NIH,2016,2016-02-01,124,0,2709442569.0,usaspending,False
NIH,2016,2016-03-01,153,0,4213678412.0,usaspending,False
NIH,2016,2016-04-01,184,0,6523216985.0,usaspending,False
NIH,2016,2016-05-01,214,0,8861922055.0,usaspending,False
NIH,2016,2016-06-01,245,0,11695795212.0,usaspending,False
NIH,2016,2016-07-01,275,0,14916260943.0,usaspending,False
NIH,2016,2016-08-01,306,0,18016319788.0,usaspending,False
NIH,2016,2016-09-01,337,0,21143612723.0,usaspending,False
NIH,2016,2016-10-01,367,0,23527939382.0,usaspending,False
NIH,2017,2016-11-01,32,0,45882446.0,usaspending,False
NIH,2017,2016-12-01,62,0,943530500.0,usaspending,False
NIH,2017,2017-01-01,93,0,1955815327.0,usaspending,False
NIH,2017,2017-02-01,124,0,3163657450.0,usaspending,False
NIH,2017,2017-03-01,152,0,4438237532.0,usaspending,False
NIH,2017,2017-04-01,183,0,6722716043.0,usaspending,False
NIH,2017,2017-05-01,213,0,8778198850.0,usaspending,False
NIH,2017,2017-06-01,244,0,11112936811.0,usaspending,False
NIH,2017,2017-07-01,274,0,14973370551.0,usaspending,False
NIH,2017,2017-08-01,305,0,18332628502.0,usaspending,False
NIH,2017,2017-09-01,336,0,21900389850.0,usaspending,False
NIH,2017,2017-10-01,366,0,24806054313.0,usaspending,False
NIH,2018,2017-11-01,32,0,56451089.0,usaspending,False
NIH,2018,2017-12-01,62,0,834834999.0,usaspending,False
NIH,2018,2018-01-01,93,0,2040002050.0,usaspending,False
NIH,2018,2018-02-01,124,0,3211862712.0,usaspending,False
NIH,2018,2018-03-01,152,0,4781364968.0,usaspending,False
NIH,2018,2018-04-01,183,0,6909894498.0,usaspending,False
NIH,2018,2018-05-01,213,0,9347486303.0,usaspending,False
NIH,2018,2018-06-01,244,0,12397805707.0,usaspending,False
NIH,2018,2018-07-01,274,0,15968640964.0,usaspending,False
NIH,2018,2018-08-01,305,0,19369524474.0,usaspending,False
NIH,2018,2018-09-01,336,0,23435572196.0,usaspending,False
NIH,2018,2018-10-01,366,0,26894983760.0,usaspending,False
NIH,2019,2018-11-01,32,0,52802216.0,usaspending,False
NIH,2019,2018-12-01,62,0,918430510.0,usaspending,False
NIH,2019,2019-01-01,93,0,2136734788.0,usaspending,False
NIH,2019,2019-02-01,124,0,3680006926.0,usaspending,False
NIH,2019,2019-03-01,152,0,5268200237.0,usaspending,False
NIH,2019,2019-04-01,183,0,7676447023.0,usaspending,False
NIH,2019,2019-05-01,213,0,10345871037.0,usaspending,False
NIH,2019,2019-06-01,244,0,13619463834.0,usaspending,False
NIH,2019,2019-07-01,274,0,16947743637.0,usaspending,False
NIH,2019,2019-08-01,305,0,20996088360.0,usaspending,False
NIH,2019,2019-09-01,336,0,25387291983.0,usaspending,False
NIH,2019,2019-10-01,366,0,28925591911.0,usaspending,False
NIH,2020,2019-11-01,32,0,-5158725.0,usaspending,False
NIH,2020,2019-12-01,62,0,941626381.0,usaspending,False
NIH,2020,2020-01-01,93,0,2063235312.0,usaspending,False
NIH,2020,2020-02-01,124,0,3570691389.0,usaspending,False
NIH,2020,2020-03-01,153,0,5554772298.0,usaspending,False
NIH,2020,2020-04-01,184,0,8332877837.0,usaspending,False
NIH,2020,2020-05-01,214,0,11444709376.0,usaspending,False
NIH,2020,2020-06-01,245,0,14836971179.0,usaspending,False
NIH,2020,2020-07-01,275,0,18881077853.0,usaspending,False
NIH,2020,2020-08-01,306,0,23449420744.0,usaspending,False
NIH,2020,2020-09-01,337,0,28122492611.0,usaspending,False
NIH,2020,2020-10-01,367,0,31957515743.0,usaspending,False
NIH,2021,2020-11-01,32,0,75423701.13,usaspending,False
NIH,2021,2020-12-01,62,0,948286393.76,usaspending,False
NIH,2021,2021-01-01,93,0,2393960266.67,usaspending,False
NIH,2021,2021-02-01,124,0,3681352813.74,usaspending,False
NIH,2021,2021-03-01,152,0,5646816646.86,usaspending,False
NIH,2021,2021-04-01,183,0,8734490931.47,usaspending,False
NIH,2021,2021-05-01,213,0,12074060774.05,usaspending,False
NIH,2021,2021-06-01,244,0,15247562069.71,usaspending,False
NIH,2021,2021-07-01,274,0,19293745745.22,usaspending,False
NIH,2021,2021-08-01,305,0,23123580232.09,usaspending,False
NIH,2021,2021-09-01,336,0,27855315471.690002,usaspending,False
NIH,2021,2021-10-01,366,0,31480990097.24,usaspending,False
NIH,2022,2021-11-01,32,0,81944551.2,usaspending,False
NIH,2022,2021-12-01,62,0,889657093.36,usaspending,False
NIH,2022,2022-01-01,93,0,2326904899.31,usaspending,False
NIH,2022,2022-02-01,124,0,3790188300.16,usaspending,False
NIH,2022,2022-03-01,152,0,5641904806.59,usaspending,False
NIH,2022,2022-04-01,183,0,8095775657.85,usaspending,False
NIH,2022,2022-05-01,213,0,11232643695.26,usaspending,False
NIH,2022,2022-06-01,244,0,15393322666.86,usaspending,False
NIH,2022,2022-07-01,274,0,19812511891.4,usaspending,False
NIH,2022,2022-08-01,305,0,23918602034.870003,usaspending,False
NIH,2022,2022-09-01,336,0,29773870612.140003,usaspending,False
NIH,2022,2022-10-01,366,0,33621089115.590004,usaspending,False
NIH,2023,2022-11-01,32,0,27048824.41,usaspending,False
NIH,2023,2022-12-01,62,0,818111146.17,usaspending,False
NIH,2023,2023-01-01,93,0,2191600100.7,usaspending,False
NIH,2023,2023-02-01,124,0,4040861902.2,usaspending,False
NIH,2023,2023-03-01,152,0,6100051456.01,usaspending,False
NIH,2023,2023-04-01,183,0,9408816352.77,usaspending,False
NIH,2023,2023-05-01,213,0,12153340689.35,usaspending,False
NIH,2023,2023-06-01,244,0,16198905845.8,usaspending,False
NIH,2023,2023-07-01,274,0,20358497307.989998,usaspending,False
NIH,2023,2023-08-01,305,0,24583717252.789997,usaspending,False
NIH,2023,2023-09-01,336,0,30510526629.76,usaspending,False
NIH,2023,2023-10-01,366,0,33927754446.839996,usaspending,False
NIH,2024,2023-11-01,32,0,-20411564.82,usaspending,False
NIH,2024,2023-12-01,62,0,972216505.5699999,usaspending,False
NIH,2024,2024-01-01,93,0,2225010059.18,usaspending,False
NIH,2024,2024-02-01,124,0,3876998968.4399996,usaspending,False
NIH,2024,2024-03-01,153,0,5738209725.9,usaspending,False
NIH,2024,2024-04-01,184,0,8120089500.2699995,usaspending,False
NIH,2024,2024-05-01,214,0,10785648720.279999,usaspending,False
NIH,2024,2024-06-01,245,0,15172322888.46,usaspending,False
NIH,2024,2024-07-01,275,0,19411515517.129997,usaspending,False
NIH,2024,2024-08-01,306,0,24539921940.629997,usaspending,False
NIH,2024,2024-09-01,337,0,30501126038.1,usaspending,False
NIH,2024,2024-10-01,367,0,33601584661.85,usaspending,False
NIH,2025,2024-11-01,32,0,-45191612.2,usaspending,False
NIH,2025,2024-12-01,62,0,1000280984.92,usaspending,False
NIH,2025,2025-01-01,93,0,2470254510.71,usaspending,False
NIH,2025,2025-02-01,124,0,3844453366.98,usaspending,False
NIH,2025,2025-03-01,152,0,4869915923.14,usaspending,False
NIH,2025,2025-04-01,183,0,6840485574.22,usaspending,False
NIH,2025,2025-05-01,213,0,9721892773.44,usaspending,False
NIH,2025,2025-06-01,244,0,12187310391.5,usaspending,False
NIH,2025,2025-07-01,274,0,15209187788.27,usaspending,False
NIH,2025,2025-08-01,305,0,21015324476.49,usaspending,False
NIH,2025,2025-09-01,336,0,28848854975.99,usaspending,False
NIH,2025,2025-10-01,366,0,33932518432.75,usaspending,False
NIH,2026,2025-11-01,32,0,-16819523.47,usaspending,False
NIH,2026,2025-12-01,62,0,39382851.63,usaspending,False
NIH,2026,2026-01-01,93,0,1076852795.99,usaspending,False
NIH,2026,2026-02-01,124,0,2681226959.75,usaspending,False
NIH,2026,2026-03-01,152,0,4468841187.49,usaspending,False
NIH,2026,2026-03-20,171,0,5361404046.799999,usaspending,True
NSF,2016,2015-11-01,32,0,0.0,usaspending,False
NSF,2016,2015-12-01,62,0,0.0,usaspending,False
NSF,2016,2016-01-01,93,0,209215.0,usaspending,False
NSF,2016,2016-02-01,124,0,1576190.0,usaspending,False
NSF,2016,2016-03-01,153,0,18000605.0,usaspending,False
