agency,fiscal_year,date,fy_day,cumulative_count,cumulative_dollars,source_type
NIH,2016,2015-11-01,32,0,5418808.0,usaspending
NIH,2016,2015-12-01,62,0,112049162.0,usaspending
NIH,2016,2016-01-01,93,0,332243685.0,usaspending
NIH,2016,2016-02-01,124,0,563837606.0,usaspending
NIH,2016,2016-03-01,153,0,866909114.0,usaspending
NIH,2016,2016-04-01,184,0,1358177538.0,usaspending
NIH,2016,2016-05-01,214,0,1767164598.0,usaspending
NIH,2016,2016-06-01,245,0,2268102659.0,usaspending
NIH,2016,2016-07-01,275,0,2776392697.0,usaspending
NIH,2016,2016-08-01,306,0,3555528078.0,usaspending
NIH,2016,2016-09-01,337,0,4446469659.0,usaspending
NIH,2016,2016-10-01,367,0,5954469695.0,usaspending
NIH,2017,2016-11-01,32,0,1028313.0,usaspending
NIH,2017,2016-12-01,62,0,75742879.0,usaspending
NIH,2017,2017-01-01,93,0,341382825.0,usaspending
NIH,2017,2017-02-01,124,0,602672953.0,usaspending
NIH,2017,2017-03-01,152,0,874553039.0,usaspending
NIH,2017,2017-04-01,183,0,1376400456.0,usaspending
NIH,2017,2017-05-01,213,0,1773005306.0,usaspending
NIH,2017,2017-06-01,244,0,2083992653.0,usaspending
NIH,2017,2017-07-01,274,0,2545345032.0,usaspending
NIH,2017,2017-08-01,305,0,3263049171.0,usaspending
NIH,2017,2017-09-01,336,0,4269003210.0,usaspending
NIH,2017,2017-10-01,366,0,6222839719.0,usaspending
NIH,2018,2017-11-01,32,0,2209671.0,usaspending
NIH,2018,2017-12-01,62,0,79162132.0,usaspending
NIH,2018,2018-01-01,93,0,376689638.0,usaspending
NIH,2018,2018-02-01,124,0,605148198.0,usaspending
NIH,2018,2018-03-01,152,0,903178015.0,usaspending
NIH,2018,2018-04-01,183,0,1380221931.0,usaspending
NIH,2018,2018-05-01,213,0,1777567120.0,usaspending
NIH,2018,2018-06-01,244,0,2261385260.0,usaspending
NIH,2018,2018-07-01,274,0,2803438337.0,usaspending
NIH,2018,2018-08-01,305,0,3536806974.0,usaspending
NIH,2018,2018-09-01,336,0,4839699941.0,usaspending
NIH,2018,2018-10-01,366,0,7002111648.0,usaspending
NIH,2019,2018-11-01,32,0,2941137.0,usaspending
NIH,2019,2018-12-01,62,0,107000131.0,usaspending
NIH,2019,2019-01-01,93,0,356008100.0,usaspending
NIH,2019,2019-02-01,124,0,732495081.0,usaspending
NIH,2019,2019-03-01,152,0,1130039825.0,usaspending
NIH,2019,2019-04-01,183,0,1751869738.0,usaspending
NIH,2019,2019-05-01,213,0,2339056574.0,usaspending
NIH,2019,2019-06-01,244,0,2854905943.0,usaspending
NIH,2019,2019-07-01,274,0,3364602700.0,usaspending
NIH,2019,2019-08-01,305,0,4283549772.0,usaspending
NIH,2019,2019-09-01,336,0,5625996041.0,usaspending
NIH,2019,2019-10-01,366,0,7734002625.0,usaspending
NIH,2020,2019-11-01,32,0,224099.0,usaspending
NIH,2020,2019-12-01,62,0,97839412.0,usaspending
NIH,2020,2020-01-01,93,0,334411949.0,usaspending
NIH,2020,2020-02-01,124,0,594694134.0,usaspending
NIH,2020,2020-03-01,153,0,971281147.0,usaspending
NIH,2020,2020-04-01,184,0,1535594411.0,usaspending
NIH,2020,2020-05-01,214,0,2247981679.0,usaspending
NIH,2020,2020-06-01,245,0,2843328505.0,usaspending
NIH,2020,2020-07-01,275,0,3500503702.0,usaspending
NIH,2020,2020-08-01,306,0,4384761533.0,usaspending
NIH,2020,2020-09-01,337,0,5406541565.0,usaspending
NIH,2020,2020-10-01,367,0,7544140671.0,usaspending
NIH,2021,2020-11-01,32,0,1835869.92,usaspending
NIH,2021,2020-12-01,62,0,107955286.92,usaspending
NIH,2021,2021-01-01,93,0,451615106.92,usaspending
NIH,2021,2021-02-01,124,0,691595679.9200001,usaspending
NIH,2021,2021-03-01,152,0,1020142794.7800001,usaspending
NIH,2021,2021-04-01,183,0,1662270362.45,usaspending
NIH,2021,2021-05-01,213,0,2435383126.9700003,usaspending
NIH,2021,2021-06-01,244,0,2933453289.3,usaspending
NIH,2021,2021-07-01,274,0,3519932609.59,usaspending
NIH,2021,2021-08-01,305,0,4261818898.62,usaspending
NIH,2021,2021-09-01,336,0,5451221667.53,usaspending
NIH,2021,2021-10-01,366,0,7536919839.79,usaspending
NIH,2022,2021-11-01,32,0,10514700.43,usaspending
NIH,2022,2021-12-01,62,0,98239747.94,usaspending
NIH,2022,2022-01-01,93,0,403335048.61,usaspending
NIH,2022,2022-02-01,124,0,707783785.9100001,usaspending
NIH,2022,2022-03-01,152,0,1109414413.14,usaspending
NIH,2022,2022-04-01,183,0,1635454352.97,usaspending
NIH,2022,2022-05-01,213,0,2123374296.8,usaspending
NIH,2022,2022-06-01,244,0,3311691090.24,usaspending
NIH,2022,2022-07-01,274,0,4052491139.9399996,usaspending
NIH,2022,2022-08-01,305,0,4923355922.37,usaspending
NIH,2022,2022-09-01,336,0,6409718410.98,usaspending
NIH,2022,2022-10-01,366,0,8585140442.42,usaspending
NIH,2023,2022-11-01,32,0,13089442.0,usaspending
NIH,2023,2022-12-01,62,0,118571763.0,usaspending
NIH,2023,2023-01-01,93,0,448768362.0,usaspending
NIH,2023,2023-02-01,124,0,746594303.4100001,usaspending
NIH,2023,2023-03-01,152,0,1082991163.41,usaspending
NIH,2023,2023-04-01,183,0,1777833057.72,usaspending
NIH,2023,2023-05-01,213,0,2401064702.92,usaspending
NIH,2023,2023-06-01,244,0,3152567762.38,usaspending
NIH,2023,2023-07-01,274,0,3811481619.44,usaspending
NIH,2023,2023-08-01,305,0,4606874874.67,usaspending
NIH,2023,2023-09-01,336,0,6234460250.49,usaspending
NIH,2023,2023-10-01,366,0,8114390762.15,usaspending
NIH,2024,2023-11-01,32,0,2964359.0,usaspending
NIH,2024,2023-12-01,62,0,112389474.0,usaspending
NIH,2024,2024-01-01,93,0,382550654.57,usaspending
NIH,2024,2024-02-01,124,0,623353980.5699999,usaspending
NIH,2024,2024-03-01,153,0,956850090.5899999,usaspending
NIH,2024,2024-04-01,184,0,1410548240.25,usaspending
NIH,2024,2024-05-01,214,0,1851620618.65,usaspending
NIH,2024,2024-06-01,245,0,2405406797.33,usaspending
NIH,2024,2024-07-01,275,0,3040517723.72,usaspending
NIH,2024,2024-08-01,306,0,4120837221.5199995,usaspending
NIH,2024,2024-09-01,337,0,5850110230.289999,usaspending
NIH,2024,2024-10-01,367,0,7625977580.969999,usaspending
