agency,source_type,latest_fy_day,latest_date,cumul_count,cumul_dollars,prior_year_count,prior_year_dollars,mean_count,mean_dollars
NIH,nih_reporter,199,2026-04-17,2173,1299452347.0,3257,1482856125.0,5284.888888888889,2231026731.2222223
NIH_NCI,nih_reporter,199,2026-04-17,133,93258200.0,558,271058887.0,731.4444444444445,286341400.5185185
NIH_NHLBI,nih_reporter,192,2026-04-10,44,18238204.0,328,172085822.0,587.8888888888889,262634386.0
NIH_NIDCR,nih_reporter,189,2026-04-07,38,15637789.0,29,7912578.0,73.88888888888889,24111287.37671958
NIH_NIDDK,nih_reporter,199,2026-04-17,213,120214875.0,151,70675389.0,357.1111111111111,134695780.81481484
NIH_NINDS,nih_reporter,199,2026-04-17,181,84570311.0,270,114296137.0,448.8888888888889,184121764.1851852
NIH_NIAID,nih_reporter,199,2026-04-17,493,286029526.0,439,186701768.0,794.3333333333334,368928532.0
NIH_NIGMS,nih_reporter,199,2026-04-17,323,160545494.0,263,100010186.0,473.3333333333333,179845171.0
NIH_NICHD,nih_reporter,199,2026-04-17,32,6207075.0,159,46628604.0,213.33333333333334,66624015.833333336
NIH_NEI,nih_reporter,199,2026-04-17,39,20847899.0,121,44905067.0,158.44444444444446,57372916.87777778
NIH_NIEHS,nih_reporter,199,2026-04-17,39,28732429.0,70,28105305.0,96.0,33074384.255291004
NIH_NIA,nih_reporter,199,2026-04-17,254,199283484.0,166,116165433.5,273.1111111111111,161829985.25925925
NIH_NIAMS,nih_reporter,191,2026-04-09,10,1743173.0,43,16136593.0,108.0,33364899.65925926
NIH_NIDCD,nih_reporter,185,2026-04-03,44,29889018.0,82,28333840.5,117.55555555555556,37778186.777777776
NIH_NIMH,nih_reporter,199,2026-04-17,99,63427540.0,221,108100761.0,280.3333333333333,117540875.0462963
NIH_NIDA,nih_reporter,199,2026-04-17,112,58956981.0,124,46866315.0,164.0,72185013.82222222
NIH_NIAAA,nih_reporter,192,2026-04-10,2,724952.0,0,0.0,54.22222222222222,18529541.305555552
NIH_NINR,nih_reporter,199,2026-04-17,14,15082932.0,2,585093.224489796,24.22222222222222,7733444.822420635
NIH_NHGRI,nih_reporter,199,2026-04-17,21,36796004.0,28,11792855.333333334,31.444444444444443,23814529.876825374
NIH_NIBIB,nih_reporter,199,2026-04-17,36,13115583.0,77,27428358.6,65.66666666666667,19702764.167153995
NIH_NCCIH,nih_reporter,199,2026-04-17,14,5322346.0,18,6953302.0,27.444444444444443,7099454.843626744
NIH_NCATS,nih_reporter,183,2026-04-01,16,36819852.0,8,15577054.0,25.88888888888889,26004212.19465812
NIH_FIC,nih_reporter,148,2026-02-25,13,2698320.0,2,503032.496124031,3.25,765344.470508658
NIH_OD,nih_reporter,156,2026-03-05,3,1310360.0,15,16108875.2,23.0,29049917.33804714
NSF,nsf_awards,204,2026-04-22,1071,396744844.0,2351,1010521751.25,3557.8888888888887,1105652498.5185187
NSF_ENG,nsf_awards,204,2026-04-22,259,105112227.0,362,130583707.75,604.7777777777778,192145817.88148147
NSF_MPS,nsf_awards,204,2026-04-22,268,74586893.0,475,135766835.75,747.6666666666666,209726410.37037036
NSF_GEO,nsf_awards,204,2026-04-22,116,39548745.0,296,280595773.0,433.77777777777777,123036807.05555555
NSF_CISE,nsf_awards,204,2026-04-22,252,86901791.0,400,157810274.75,517.4444444444445,122296522.97222222
NSF_BIO,nsf_awards,204,2026-04-22,75,32935632.0,214,102721356.8888889,371.8888888888889,152406055.2222222
NSF_SBE,nsf_awards,190,2026-04-08,19,3517681.0,197,38606990.0,257.0,39889468.240740746
NSF_EDU_AWD,nsf_awards,204,2026-04-22,40,42918927.0,112,67429025.8888889,274.77777777777777,156956761.20185184
NSF_IA,nsf_awards,203,2026-04-21,21,8098665.0,60,43840582.32653061,27.444444444444443,12523606.882589702
NSF_TIP,nsf_awards,190,2026-04-08,21,3124283.0,209,49591979.0,279.3333333333333,86962918.68888889
DOE_SC,usaspending,204,2026-04-22,0,99334448.65,0,105614738.77066666,0.0,86175203.5988148
NASA_SCI,usaspending,202,2026-04-20,0,100483784.08000001,0,92985439.16,0.0,99949518.82566667
USDA_RD,usaspending,199,2026-04-17,0,193597061.01999998,0,117741088.70666668,0.0,161778646.88085186
DOE_SC_SCI,usaspending,204,2026-04-22,0,5545782.65,0,72507501.37066665,0.0,36534321.32059259
DOE_ARPA_E,usaspending,204,2026-04-22,0,93788666.0,0,33107237.4,0.0,74461323.41733333
USDA_NIFA,usaspending,199,2026-04-17,0,193597061.01999998,0,116991324.70666668,0.0,161723133.54751852
