agency,source_type,latest_fy_day,latest_date,cumul_count,cumul_dollars,prior_year_count,prior_year_dollars,mean_count,mean_dollars
NIH,nih_reporter,263,2026-06-20,26098,15579748064.0,27849,15242612184.0,34452.625,17253656601.375
NIH_NCI,nih_reporter,262,2026-06-19,2968,1684569161.0,3605,1917144678.0,4091.75,1943704485.5
NIH_NHLBI,nih_reporter,262,2026-06-19,2203,1273975587.0,2675,1566556054.0,3637.375,2042156698.0
NIH_NIDCR,nih_reporter,262,2026-06-19,388,184568138.0,453,204072085.0,495.5,188335648.9583333
NIH_NIDDK,nih_reporter,262,2026-06-19,1996,1008538385.0,1890,856225785.0,2346.625,946652090.8333333
NIH_NINDS,nih_reporter,262,2026-06-19,2205,1110397523.0,2383,1114277617.0,2667.75,1101266687.4375
NIH_NIAID,nih_reporter,262,2026-06-19,3395,2442769041.0,3186,2174839189.0,4358.25,2792184731.291667
NIH_NIGMS,nih_reporter,262,2026-06-19,2693,1313386989.0,3027,1363781419.0,3693.375,1537462788.5208335
NIH_NICHD,nih_reporter,262,2026-06-19,1184,544754457.0,1252,577438875.0,1413.875,570722941.75
NIH_NEI,nih_reporter,262,2026-06-19,730,333914043.0,691,292164144.0,911.125,346360786.3645834
NIH_NIEHS,nih_reporter,262,2026-06-19,499,311662113.0,545,241287717.0,615.75,288360140.9583334
NIH_NIA,nih_reporter,263,2026-06-20,2192,1669563563.0,2004,1433508145.0,2365.0,1452849391.4583335
NIH_NIAMS,nih_reporter,262,2026-06-19,547,242863780.0,660,254148820.0,743.875,263394402.125
NIH_NIDCD,nih_reporter,262,2026-06-19,514,225421059.0,642,261590695.0,736.25,256437082.6875
NIH_NIMH,nih_reporter,262,2026-06-19,1403,943033214.0,1658,916824724.0,2039.125,948874611.5625
NIH_NIDA,nih_reporter,262,2026-06-19,1179,786766929.0,1117,636203499.0,1355.625,689211554.9583333
NIH_NIAAA,nih_reporter,260,2026-06-17,335,147610231.0,210,89691293.33333333,519.125,189372424.8958333
NIH_NINR,nih_reporter,262,2026-06-19,81,53547658.0,66,36283374.0,201.75,83313387.23958334
NIH_NHGRI,nih_reporter,262,2026-06-19,203,182207394.0,188,126902642.5,275.5,227076395.86964285
NIH_NIBIB,nih_reporter,262,2026-06-19,420,179626425.0,465,194125825.0,457.5,181015720.4166667
NIH_NIMHD,nih_reporter,262,2026-06-19,287,188329508.0,292,179114477.0,350.75,216844394.8333333
NIH_NCCIH,nih_reporter,262,2026-06-19,98,50948912.0,116,48516187.0,140.0,50481392.5875
NIH_NCATS,nih_reporter,262,2026-06-19,120,298609501.0,111,176429651.0,207.875,378239029.6666666
NIH_NLM,nih_reporter,259,2026-06-16,61,27013693.0,67,21264060.0,87.75,41401810.8452381
NIH_FIC,nih_reporter,262,2026-06-19,176,33153778.0,150,34624422.5,194.375,45073455.01785714
NIH_OD,nih_reporter,262,2026-06-19,221,342516982.0,237,417669210.0,258.5,346735556.1875
NSF,usaspending,261,2026-06-18,0,1808775627.0,0,2411334875.2,0.0,2571528692.033334
DOE_SC,usaspending,259,2026-06-16,0,682537248.55,0,485323143.64400005,0.0,449466819.95766664
NASA_SCI,usaspending,262,2026-06-19,0,516231549.28000003,0,678753494.49,0.0,450948240.67314816
USDA_RD,usaspending,261,2026-06-18,0,205995108.56000003,0,117188179.99599999,0.0,258251770.44974077
DOE_SC_SCI,usaspending,259,2026-06-16,0,542023131.02,0,456227308.7133333,0.0,352814122.1627778
DOE_ARPA_E,usaspending,259,2026-06-16,0,140514117.53,0,29095834.930666663,0.0,124267754.3077143
USDA_NIFA,usaspending,261,2026-06-18,0,205995108.56000003,0,117188179.99599999,0.0,258251770.44974077
NSF_ENG,usaspending,261,2026-06-18,0,177022059.0,0,243327645.20000002,0.0,339739758.2037037
NSF_MPS,usaspending,261,2026-06-18,0,415844464.0,0,565115408.4,0.0,659019946.9814816
NSF_GEO,usaspending,261,2026-06-18,0,205705036.0,0,391850049.2,0.0,456120405.2259259
NSF_CISE,usaspending,261,2026-06-18,0,476382091.0,0,402765374.2,0.0,262972273.81851852
NSF_BIO,usaspending,261,2026-06-18,0,235890150.0,0,281866151.0,0.0,329271246.0111111
NSF_SBE,usaspending,261,2026-06-18,0,22327472.0,0,70061323.8,0.0,62803883.296296306
NSF_EDU_AWD,usaspending,261,2026-06-18,0,74862709.0,0,153438617.2,0.0,322114281.39629626
NSF_IA,usaspending,261,2026-06-18,0,37636468.0,0,121086104.4,0.0,53054269.7875
NSF_TIP,usaspending,261,2026-06-18,0,163105178.0,0,181824201.8,0.0,276982638.53333336
