agency,display_name,fiscal_year,period_month,period_label,obligations,appropriations,pct_obligated
DOE_SC,DOE (Office of Science),2016,2,Nov,815625000.0,5350200000.0,15.24475720533812
DOE_SC,DOE (Office of Science),2016,4,Jan,2700946000.0,5350200000.0,50.483084744495535
DOE_SC,DOE (Office of Science),2016,5,Feb,3316649000.0,5350200000.0,61.991121827221406
DOE_SC,DOE (Office of Science),2016,7,Apr,3685858000.0,5350200000.0,68.89196665545214
DOE_SC,DOE (Office of Science),2016,8,May,4615520000.0,5350200000.0,86.26817689058353
DOE_SC,DOE (Office of Science),2016,10,Jul,5371285000.0,5350200000.0,100.39409741691901
DOE_SC,DOE (Office of Science),2016,11,Aug,5798287000.0,5350200000.0,108.37514485439796
DOE_SC,DOE (Office of Science),2017,2,Nov,836409917.3299999,5392000000.0,15.512053362945103
DOE_SC,DOE (Office of Science),2017,4,Jan,2496034313.1899996,5392000000.0,46.291437559161714
DOE_SC,DOE (Office of Science),2017,5,Feb,2590413258.64,5392000000.0,48.04178892136498
DOE_SC,DOE (Office of Science),2017,7,Apr,2845077961.5299997,5392000000.0,52.7647989897997
DOE_SC,DOE (Office of Science),2017,8,May,3332497799.1400003,5392000000.0,61.80448440541544
DOE_SC,DOE (Office of Science),2017,10,Jul,5022165365.63,5392000000.0,93.14104906583827
DOE_SC,DOE (Office of Science),2017,11,Aug,5491588081.5199995,5392000000.0,101.84695996884273
DOE_SC,DOE (Office of Science),2018,2,Nov,795341113.9399999,6259903000.0,12.705326487327358
DOE_SC,DOE (Office of Science),2018,3,Dec (Q1),962817657.0,6259903000.0,15.380712081321388
DOE_SC,DOE (Office of Science),2018,4,Jan,1360988549.19,6259903000.0,21.741368024232965
DOE_SC,DOE (Office of Science),2018,5,Feb,2062527641.52,6259903000.0,32.94823644264137
DOE_SC,DOE (Office of Science),2018,6,Mar (Q2),2181486368.87,6259903000.0,34.84856504757342
DOE_SC,DOE (Office of Science),2018,7,Apr,2679017357.5699997,6259903000.0,42.79646757417806
DOE_SC,DOE (Office of Science),2018,8,May,3285473566.67,6259903000.0,52.48441655837159
DOE_SC,DOE (Office of Science),2018,9,Jun (Q3),5069673101.07,6259903000.0,80.98644820966075
DOE_SC,DOE (Office of Science),2018,10,Jul,5744234924.23,6259903000.0,91.76236315850261
DOE_SC,DOE (Office of Science),2018,11,Aug,6237918292.55,6259903000.0,99.64880114835645
DOE_SC,DOE (Office of Science),2018,12,Sep (Q4),6971108783.89,6259903000.0,111.3612908041866
DOE_SC,DOE (Office of Science),2019,2,Nov,923299108.58,6585000000.0,14.021246903264997
DOE_SC,DOE (Office of Science),2019,3,Dec (Q1),1428935471.5000002,6585000000.0,21.699855299924074
DOE_SC,DOE (Office of Science),2019,6,Mar (Q2),4243732395.0,6585000000.0,64.44544259681093
DOE_SC,DOE (Office of Science),2019,7,Apr,5316685771.08,6585000000.0,80.73934352437358
DOE_SC,DOE (Office of Science),2019,8,May,5529537345.610001,6585000000.0,83.97171367668945
DOE_SC,DOE (Office of Science),2019,9,Jun (Q3),5744497638.61,6585000000.0,87.23610688853455
DOE_SC,DOE (Office of Science),2019,10,Jul,6224792056.139999,6585000000.0,94.5298717712984
DOE_SC,DOE (Office of Science),2019,11,Aug,6673293833.9800005,6585000000.0,101.34083271040244
DOE_SC,DOE (Office of Science),2019,12,Sep (Q4),7341442672.639999,6585000000.0,111.4873602526955
DOE_SC,DOE (Office of Science),2020,2,Nov,805350677.11,7099500000.0,11.34376614000986
DOE_SC,DOE (Office of Science),2020,3,Dec (Q1),1280502035.29,7099500000.0,18.036510110430314
DOE_SC,DOE (Office of Science),2020,4,Jan,1809931878.8300002,7099500000.0,25.493793630959928
DOE_SC,DOE (Office of Science),2020,5,Feb,2280457161.4700003,7099500000.0,32.121377019085855
DOE_SC,DOE (Office of Science),2020,6,Mar (Q2),4261923824.48,7099500000.0,60.031323677442074
DOE_SC,DOE (Office of Science),2020,7,Apr,5629749471.39,7099500000.0,79.29783043017115
DOE_SC,DOE (Office of Science),2020,8,May,5757104322.66,7099500000.0,81.09168705768012
DOE_SC,DOE (Office of Science),2020,9,Jun (Q3),6072238521.960001,7099500000.0,85.53050950010565
DOE_SC,DOE (Office of Science),2020,10,Jul,6570423040.339999,7099500000.0,92.54768702500175
DOE_SC,DOE (Office of Science),2020,11,Aug,7034088589.38,7099500000.0,99.07864764251005
DOE_SC,DOE (Office of Science),2020,12,Sep (Q4),7833855516.82,7099500000.0,110.34376388224523
DOE_SC,DOE (Office of Science),2021,2,Nov,969713017.26,7026000000.0,13.801779351836037
